Id,IsActive,IsDeleted,CreatedOn,LastModifiedOn,DeletedOn,Name,Url,ImageUrl,ArtistId
33,t,f,2025-05-27 12:12:26.899+00,2025-05-27 12:12:26.899+00,,Tatyaa Vinchu ,https://soundcloud.com/the_enveloper/sets/tatyaa-vinchu?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://i1.sndcdn.com/artworks-yCJYIbd7CpJE-0-t240x240.jpg,104
34,t,f,2025-05-27 12:21:02.492+00,2025-05-27 12:21:02.492+00,,THE ENVELOPER @RICHTIG DICK TECHNO FUSION MÜNSTER 24.08.24,https://soundcloud.com/the_enveloper/beyond-places-that-we-know-radio-edit?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://www.google.com/url?sa=i&url=https%3A%2F%2Fmusic.apple.com%2Fin%2Falbum%2Fbeyond-places-that-we-know-radio-edit-single%2F1778451196&psig=AOvVaw3qwDTSoKGQjFH1N8hgvIKA&ust=1748434913618000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCOD9reHRw40DFQAAAAAdAAAAABAE,104
35,t,f,2025-05-27 12:12:26.899+00,2025-05-27 12:12:26.899+00,,Tatyaa Vinchu ,https://soundcloud.com/the_enveloper/sets/tatyaa-vinchu?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://i1.sndcdn.com/artworks-yCJYIbd7CpJE-0-t240x240.jpg,104
36,t,f,2025-05-27 12:21:02.492+00,2025-05-27 12:21:02.492+00,,THE ENVELOPER @RICHTIG DICK TECHNO FUSION MÜNSTER 24.08.24,https://soundcloud.com/the_enveloper/beyond-places-that-we-know-radio-edit?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://www.google.com/url?sa=i&url=https%3A%2F%2Fmusic.apple.com%2Fin%2Falbum%2Fbeyond-places-that-we-know-radio-edit-single%2F1778451196&psig=AOvVaw3qwDTSoKGQjFH1N8hgvIKA&ust=1748434913618000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCOD9reHRw40DFQAAAAAdAAAAABAE,104
37,t,f,2025-05-27 12:22:44.157+00,2025-05-27 12:22:44.157+00,,THE ENVELOPER @RICHTIG DICK TECHNO FUSION MÜNSTER 24.08.24,https://soundcloud.com/the_enveloper/beyond-places-that-we-know-radio-edit?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d1/0e/f4/d10ef424-db6b-fdd8-4432-20c01f019159/4065328546483.png/1200x1200bb.jpg,104
38,t,f,2025-05-27 12:23:08.875+00,2025-05-27 12:23:08.875+00,, Reactor (Original Mix),https://soundcloud.com/the_enveloper/the-enveloper-reactor-original-mix-1,https://i1.sndcdn.com/artworks-9TlysN95qN2SIZAW-tORhXQ-t500x500.jpg,104
39,t,f,2025-05-27 12:22:44.157+00,2025-05-27 12:22:44.157+00,,THE ENVELOPER @RICHTIG DICK TECHNO FUSION MÜNSTER 24.08.24,https://soundcloud.com/the_enveloper/beyond-places-that-we-know-radio-edit?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d1/0e/f4/d10ef424-db6b-fdd8-4432-20c01f019159/4065328546483.png/1200x1200bb.jpg,104
40,t,f,2025-05-27 12:23:08.875+00,2025-05-27 12:23:08.875+00,, Reactor (Original Mix),https://soundcloud.com/the_enveloper/the-enveloper-reactor-original-mix-1,https://i1.sndcdn.com/artworks-9TlysN95qN2SIZAW-tORhXQ-t500x500.jpg,104
41,t,f,2025-05-27 17:07:50.095+00,2025-05-27 17:07:50.095+00,,Deus Deserto & RooneyNasr - Chromed Out (Radio Edit) .wav,https://soundcloud.com/rooney-nasr/deus-deserto-rooneynasr?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://static.traxsource.com/files/images/ddbfbfed3480b2103544d670912ab9e2.jpg,105
42,t,f,2025-05-27 17:14:24.757+00,2025-05-27 17:14:24.758+00,,Rooneynasr - Ruler (OriginalMix) [Iboga Records],https://soundcloud.com/rooney-nasr/rooneynasr-ruler-master-1?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://i1.sndcdn.com/artworks-2fKLw86TYkQLcLMU-IMgtIg-t500x500.jpg,105
43,t,f,2025-05-27 17:16:26.809+00,2025-05-27 17:16:26.809+00,,Final Mission (Original mix),https://soundcloud.com/rooney-nasr/final-mission-original-mix?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://i1.sndcdn.com/artworks-cp0biETZKTisRAG2-XsBfeA-t500x500.jpg,105
44,t,f,2025-05-27 17:17:06.813+00,2025-05-27 17:17:06.813+00,,"RooneyNasr , HNGT , Fade. - Riot (Radio Edit)",https://soundcloud.com/rooney-nasr/rooneynasr-hngt-fade-riot-2?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://i1.sndcdn.com/artworks-3ztX87CSkv5OEh9T-nBrWAA-t500x500.jpg,105
52,t,f,2025-05-27 18:15:52.963+00,2025-05-27 18:15:52.963+00,,Joyhauser - Awakenings Summer Festival 2023,https://soundcloud.com/awakenings/joyhauser-awakenings-summer?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://i1.sndcdn.com/artworks-oPZyjcB3OtLVEctT-NZ5WxA-t1080x1080.jpg,107
53,t,f,2025-05-27 18:17:05.419+00,2025-05-27 18:17:05.419+00,,Joyhauser B2B Space92 @Pukkelpop 2024,https://soundcloud.com/joyhauser/joyhauser-b2b-space92-pukkelpop-2024?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://i1.sndcdn.com/artworks-FgoFWbGWPCKRVuv2-TMXddQ-t1080x1080.jpg,107
54,t,f,2025-05-27 18:15:52.963+00,2025-05-27 18:15:52.963+00,,Joyhauser - Awakenings Summer Festival 2023,https://soundcloud.com/awakenings/joyhauser-awakenings-summer?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://i1.sndcdn.com/artworks-oPZyjcB3OtLVEctT-NZ5WxA-t1080x1080.jpg,107
55,t,f,2025-05-27 18:17:05.419+00,2025-05-27 18:17:05.419+00,,Joyhauser B2B Space92 @Pukkelpop 2024,https://soundcloud.com/joyhauser/joyhauser-b2b-space92-pukkelpop-2024?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://i1.sndcdn.com/artworks-FgoFWbGWPCKRVuv2-TMXddQ-t1080x1080.jpg,107
56,t,f,2025-05-27 18:15:52.963+00,2025-05-27 18:15:52.963+00,,Joyhauser - Awakenings Summer Festival 2023,https://soundcloud.com/awakenings/joyhauser-awakenings-summer?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://i1.sndcdn.com/artworks-oPZyjcB3OtLVEctT-NZ5WxA-t1080x1080.jpg,107
57,t,f,2025-05-27 18:17:05.419+00,2025-05-27 18:17:05.419+00,,Joyhauser B2B Space92 @Pukkelpop 2024,https://soundcloud.com/joyhauser/joyhauser-b2b-space92-pukkelpop-2024?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://i1.sndcdn.com/artworks-FgoFWbGWPCKRVuv2-TMXddQ-t1080x1080.jpg,107
58,t,f,2025-05-27 18:57:12.087+00,2025-05-27 18:57:12.087+00,,Emergenza Festival YouSawLaurent,https://soundcloud.com/yousawlaurent/dark-seduction?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://www.technoairlines.com/wp-content/uploads/2025/03/Featured-AIRCAST-133.png,108
59,t,f,2025-05-27 19:02:09.056+00,2025-05-27 19:02:09.056+00,,AIRCAST 133 | YOUSAWLAURENT,https://soundcloud.com/technoairlines/aircast-133-yousawlaurent?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://i1.sndcdn.com/artworks-XGBPtuSJ6MueQ9NJ-Z3B2Jw-t240x240.jpg,108
60,t,t,2025-05-27 19:02:46.346+00,2025-05-27 19:02:46.346+00,,YouSawLaurent - THE CORE OF [PФЩΞЯ] EPISODE 001,https://i1.sndcdn.com/artworks-C4UutYPQl8WAIeVE-QGY5Sw-t240x240.jpg,https://soundcloud.com/devilroomevents/hard-dance-yousawlaurent?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,108
61,t,f,2025-05-27 18:57:12.087+00,2025-05-27 18:57:12.087+00,,Emergenza Festival YouSawLaurent,https://soundcloud.com/yousawlaurent/dark-seduction?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://www.technoairlines.com/wp-content/uploads/2025/03/Featured-AIRCAST-133.png,108
62,t,f,2025-05-27 19:02:09.056+00,2025-05-27 19:02:09.056+00,,AIRCAST 133 | YOUSAWLAURENT,https://soundcloud.com/technoairlines/aircast-133-yousawlaurent?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://i1.sndcdn.com/artworks-XGBPtuSJ6MueQ9NJ-Z3B2Jw-t240x240.jpg,108
63,t,t,2025-05-27 19:02:46.346+00,2025-05-27 19:02:46.346+00,,YouSawLaurent - THE CORE OF [PФЩΞЯ] EPISODE 001,https://i1.sndcdn.com/artworks-C4UutYPQl8WAIeVE-QGY5Sw-t240x240.jpg,https://soundcloud.com/devilroomevents/hard-dance-yousawlaurent?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,108
107,t,f,2025-10-17 11:08:33.936+00,2025-10-17 11:08:33.936+00,,SCHRANZ SAUNA SESSION,https://on.soundcloud.com/af9ahy2J5XYaM6PCXg,https://i1.sndcdn.com/artworks-rFs7yjCewGBJphPs-4fRWqg-t500x500.jpg,122
108,t,t,2025-10-17 11:08:33.936+00,2025-10-17 11:08:33.936+00,,SCHRANZ SAUNA SESSION,https://on.soundcloud.com/af9ahy2J5XYaM6PCXg,https://i1.sndcdn.com/artworks-rFs7yjCewGBJphPs-4fRWqg-t500x500.jpg,122
109,t,t,2025-10-17 12:12:35.362+00,2025-10-17 12:12:35.362+00,,Katy Perry - Teenage dream SEMPLE Schranz edit,https://soundcloud.com/sem_ple/teenage-dream-schranz-edit?si=bc8e18ddd7f84e48b0b567c90b2b438a&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://www.instagram.com/reel/DHwC12dC7mW/?igsh=MWt5NXYzNWMyNXdzaw==,122
110,t,t,2025-10-17 12:14:19.886+00,2025-10-17 12:14:19.886+00,,Katy Perry - Teenage dream SEMPLE Schranz edit,https://on.soundcloud.com/Jdnp94ZqaOxoaK516D,https://freeimage.host/i/KvAod1s,122
111,t,t,2025-10-17 12:18:09.322+00,2025-10-17 12:18:09.322+00,,Katy Perry - Teenage dream SEMPLE Schranz edit,https://soundcloud.com/sem_ple/teenage-dream-schranz-edit?si=bc8e18ddd7f84e48b0b567c90b2b438a&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://iili.io/KvAod1s.jpg,122
112,t,f,2025-10-17 12:18:09.322+00,2025-10-17 12:18:09.322+00,,Katy Perry - Teenage dream SEMPLE Schranz edit,https://soundcloud.com/sem_ple/teenage-dream-schranz-edit?si=bc8e18ddd7f84e48b0b567c90b2b438a&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://iili.io/KvAod1s.jpg,122
113,t,f,2025-10-17 12:21:40.857+00,2025-10-17 12:21:40.857+00,,Hot schranz sessions VOL 3 SEMPLE B2B KORP,https://soundcloud.com/sem_ple/hot-schranz-sessions-vol-3?si=864400c72f4b4cacb336dd4978a15f65&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://iili.io/KvAYaSt.png,122
114,t,f,2025-10-17 14:44:40.727+00,2025-10-17 14:44:40.727+00,,Alex Sharp - Kaval Sviri,https://soundcloud.com/alex_sharp_official/alex-sharp-kaval-sviri?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://i1.sndcdn.com/artworks-CqLszLPvHodSMvby-ZPZ0Zg-t240x240.jpg,123
115,t,f,2025-10-17 14:50:47.938+00,2025-10-17 14:50:47.938+00,,Photons Of Life (Original Mix),https://soundcloud.com/alex_sharp_official/1-alex-sharp-photons-of-life?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://i1.sndcdn.com/artworks-000457753788-zhbtk5-t240x240.jpg,123
116,t,f,2025-10-17 14:51:29.168+00,2025-10-17 14:51:29.168+00,,Varna Andha EP,https://soundcloud.com/alex_sharp_official/sets/varna-andha-ep?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://i1.sndcdn.com/artworks-TzJ67dy5u7o1r6yl-EWD8tA-t500x500.jpg,123
117,t,f,2025-10-17 14:44:40.727+00,2025-10-17 14:44:40.727+00,,Alex Sharp - Kaval Sviri,https://soundcloud.com/alex_sharp_official/alex-sharp-kaval-sviri?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://i1.sndcdn.com/artworks-CqLszLPvHodSMvby-ZPZ0Zg-t240x240.jpg,123
