Id,IsActive,IsDeleted,CreatedOn,LastModifiedOn,DeletedOn,EventName,OrganizerName,DateTimeStart,DateTimeEnd,Location,CoverImageURL,City,Country,StreetAddress,Date,Status,CancelledMessage,OrganizerId,ArtistId,PublicUserId,GenreName,GenreStyling
102,t,f,2025-04-09 11:14:10.255+00,2025-04-09 11:14:10.255+00,,Gigevate Launch Party,,2025-08-08 19:00:00+00,2025-08-09 02:00:00+00,,https://eventprofilepic.s3.amazonaws.com/102/36a30771-74dd-4309-b38f-c5416af1d6df.JPG,Rotterdam,Netherlands,7137 Mission Hills Avenue,0001-01-01,,,44,,,,
111,t,f,2025-06-03 15:20:17.83+00,2025-06-03 15:20:17.83+00,,A'DAM Toren ADE 2025,,2025-10-22 14:00:00+00,2025-10-27 06:00:00+00,,https://eventprofilepic.s3.amazonaws.com/111/IMG_5617.jpg,Amsterdam,Netherlands,"Overhoeksplein 1, 1031KS",0001-01-01,,,51,,,Techno,genreTechno
112,t,f,2025-06-03 15:37:27.812+00,2025-06-03 15:37:27.812+00,,OUTWORLD - KlangKuenstler All Night Long ADE 2025,,2025-10-25 00:00:00+00,2025-10-26 06:00:00+00,,https://eventprofilepic.s3.amazonaws.com/112/IMG_5639.JPG,Amsterdam,Netherlands,"Ziggo Dome, Arena boulevard 61-75, 1101 DL",0001-01-01,,,51,,,Techno,genreTechno
113,t,f,2025-06-03 15:48:55.961+00,2025-06-03 15:48:55.961+00,,United Identities X Touching Bass,,2024-10-20 22:00:00+00,2024-10-21 06:00:00+00,,https://eventprofilepic.s3.amazonaws.com/113/IMG_5640.jpeg,Amsterdam,Netherlands,Pazzanistraat 3,0001-01-01,3,,51,,,,
115,t,f,2025-06-06 16:52:58.291+00,2025-06-06 16:52:58.291+00,,ADE x A'DAM Toren: Official Opening 2025,,2025-10-22 20:00:00+00,2025-10-23 02:00:00+00,,https://eventprofilepic.s3.amazonaws.com/115/1.jpg,Amsterdam,Netherlands,"Overhoeksplein 1, Amsterdam",0001-01-01,,,51,,,Electronic,genreElectronic
116,t,f,2025-06-09 08:31:17.876+00,2025-06-09 08:31:17.876+00,,ADE by Day - Tom Trago invites Amaliah & Makèz,,2024-10-20 20:00:00+00,2024-10-21 02:00:00+00,,https://eventprofilepic.s3.amazonaws.com/116/578495d544ffc18805c6301912f8943629f38545.png,Amsterdam,Netherlands,Pazzanistraat 3,0001-01-01,4,,51,,,Electronic,genreElectronic
117,t,f,2025-06-09 08:36:38.096+00,2025-06-09 08:36:38.097+00,,Audio Obscura ADE x Mind Against pres. HABITAT,,2024-10-20 20:00:00+00,2024-10-21 02:00:00+00,,https://eventprofilepic.s3.amazonaws.com/117/01f55802b57e89c8d725dbf8b965a1bcccd3810f.png,Amsterdam,Netherlands,"Tt. Neveritaweg 15, Amsterdam",0001-01-01,4,,51,,,Electronic,genreElectronic
119,t,f,2025-06-09 08:47:43.272+00,2025-06-09 08:47:43.272+00,,Ciranda x Doka Studio (ADE) w/ Antal & Mendel,,2024-10-20 20:00:00+00,2024-10-21 02:00:00+00,,https://eventprofilepic.s3.amazonaws.com/119/682cdc9d659ed5307c41b1bb190ef1a1cdafc302.jpg,Amsterdam,Netherlands,"Doka Studio, Amsterdam",0001-01-01,3,,51,,,Electronic,genreElectronic
120,t,f,2025-06-09 09:05:06.816+00,2025-06-09 09:05:06.816+00,,Percolator Pulse,,2024-10-20 20:00:00+00,2024-10-21 02:00:00+00,,https://eventprofilepic.s3.amazonaws.com/120/3c39724b693df09b871c9a30fa4448c12d8bf627.jpg,Amsterdam,Netherlands,"SEXYLAND World, Amsterdam",0001-01-01,3,,51,,,Electronic,genreElectronic
121,t,f,2025-06-09 09:10:08.028+00,2025-06-09 09:10:08.028+00,,Jaguar House X KELDER - Resør Electronics Showcase,,2024-10-20 20:00:00+00,2024-10-21 02:00:00+00,,https://eventprofilepic.s3.amazonaws.com/121/464053875_18065336281724858_1719384525628535797_n.jpg,Amsterdam,Netherlands,"KELDER, Amsterdam",0001-01-01,3,,51,,,Electronic,genreElectronic
122,t,f,2025-06-09 09:13:16.868+00,2025-06-09 09:13:16.868+00,,Loveland x Circle of Live - ADE 2025,,2025-10-19 20:00:00+00,2025-10-20 02:00:00+00,,https://eventprofilepic.s3.amazonaws.com/122/7111c9092935dbade0633d3e7f796030fc06712d-2.jpg,Amsterdam,Netherlands,"Mediahaven, Amsterdam",0001-01-01,4,,51,,,Electronic,genreElectronic
123,t,f,2025-06-09 09:15:49.843+00,2025-06-09 09:15:49.843+00,,Yoyaku x ADE - Shelter Amsterdam,,2025-10-20 20:00:00+00,2025-10-21 02:00:00+00,,https://eventprofilepic.s3.amazonaws.com/123/377014b35fb780e5ce356470390ad14381e37ffd.jpg,Amsterdam,Netherlands,"Shelter, Amsterdam",0001-01-01,4,,51,,,Electronic,genreElectronic
124,t,f,2025-06-09 09:17:55.691+00,2025-06-09 09:17:55.691+00,,"IN ACT ADE: Dish Dash, Marino Canal B2B Henri Bergmann, Øostil",,2025-10-25 20:00:00+00,2025-10-26 02:00:00+00,,https://eventprofilepic.s3.amazonaws.com/124/1641f3bf2e5b3901b3f9d993f6d991b5165df14c.jpg,Amsterdam,Netherlands,"Pier 14, Amsterdam",0001-01-01,4,,51,,,Electronic,genreElectronic
125,t,f,2025-06-09 09:20:27.535+00,2025-06-09 09:20:27.535+00,,Audioholics ADE at B. Rooftop,,2025-10-25 20:00:00+00,2025-10-26 02:00:00+00,,https://eventprofilepic.s3.amazonaws.com/125/c3cdd3ddd21ae8cd961e18a63eca609e2771030a.jpg,Amsterdam,Netherlands,"B. Rooftop, Amsterdam",0001-01-01,4,,51,,,Electronic,genreElectronic
127,t,f,2025-06-09 09:25:28.576+00,2025-06-09 09:25:28.576+00,,Shelter presents: Brighter Days by Kamma & Masalo,,2024-10-19 20:00:00+00,2024-10-20 02:00:00+00,,https://eventprofilepic.s3.amazonaws.com/127/c1c11baaae5fc74ddadc57a400c367d962964bb5.png,Amsterdam,Netherlands,"Shelter, Amsterdam",0001-01-01,3,,51,,,Electronic,genreElectronic
128,t,f,2025-06-09 09:28:02.808+00,2025-06-09 09:28:02.808+00,,Madam Invites Detroit Love ADE,,2024-10-19 20:00:00+00,2024-10-20 02:00:00+00,,https://eventprofilepic.s3.amazonaws.com/128/ee792ee9ef6b1d941e2b27d8165dcf7eb03c6052.jpg,Amsterdam,Netherlands,"Madam, Amsterdam",0001-01-01,3,,51,,,Electronic,genreElectronic
129,t,f,2025-06-09 09:30:01.337+00,2025-06-09 09:30:01.337+00,,Ben Hemsley & Friends ADE Boat Party,,2024-10-19 20:00:00+00,2024-10-20 02:00:00+00,,https://eventprofilepic.s3.amazonaws.com/129/BEN-HEMSLEY-ADE-1X1.jpg,Amsterdam,Netherlands,"Watt Events Boat, Amsterdam",0001-01-01,3,,51,,,Electronic,genreElectronic
130,t,f,2025-06-09 09:32:08.306+00,2025-06-09 09:32:08.306+00,,Spectrum x ADE: Joris Voorn & Friends,,2024-10-18 20:00:00+00,2024-10-19 02:00:00+00,,https://eventprofilepic.s3.amazonaws.com/130/AW_ADE24_GASHOUDER_Spectrum-4-5.png,Amsterdam,Netherlands,"Shelter, Amsterdam",0001-01-01,3,,51,,,Electronic,genreElectronic
131,t,f,2025-06-09 09:34:07.031+00,2025-06-09 09:34:07.031+00,,He.She.They ADE: Diversity on the Dancefloor,,2024-10-19 20:00:00+00,2024-10-20 02:00:00+00,,https://eventprofilepic.s3.amazonaws.com/131/HST-ADE-LINEUP.jpg,Amsterdam,Netherlands,"Paradiso, Amsterdam",0001-01-01,3,,51,,,Electronic,genreElectronic
132,t,f,2025-06-09 09:36:16.674+00,2025-06-09 09:36:16.674+00,,SLAPFUNK x ADE 2024 – 11 Year Anniversary,,2024-10-19 20:00:00+00,2024-10-20 02:00:00+00,,https://eventprofilepic.s3.amazonaws.com/132/a4cbe03487293a99b972d9a1407477f6b9887dc9.png,Amsterdam,Netherlands,"Orlyplein 76, Amsterdam",0001-01-01,3,,51,,,Electronic,genreElectronic
133,t,f,2025-06-09 09:39:41.075+00,2025-06-09 09:39:41.075+00,,Supperclub x ADE – Secret Garden,,2024-10-20 20:00:00+00,2024-10-21 02:00:00+00,,https://eventprofilepic.s3.amazonaws.com/133/fc50621cfa3d03d418a2ac452a0592284c6d7a69.jpg,Amsterdam,Netherlands,"Supperclub Amsterdam, Amsterdam",0001-01-01,3,,51,,,Electronic,genreElectronic
134,t,f,2025-06-09 09:41:40.61+00,2025-06-09 09:41:40.61+00,,Modular Festival by SoHaSo & Bordello A Parigi,,2024-10-19 20:00:00+00,2024-10-20 02:00:00+00,,https://eventprofilepic.s3.amazonaws.com/134/Screen Shot 2025-06-09 at 10.46.55 AM.png,Amsterdam,Netherlands,"Doka, Amsterdam",0001-01-01,3,,51,,,Electronic,genreElectronic
135,t,f,2025-06-09 10:47:15.61+00,2025-06-09 10:47:15.61+00,,d'HERACLAS QUKKLAS,,2024-07-19 23:00:00+00,2024-07-20 04:00:00+00,,https://eventprofilepic.s3.amazonaws.com/135/IMG_6103.jpg,Istanbul,Turkey,"Kastel, Istanbul, Turkey",0001-01-01,3,,59,,,Techno,genreTechno
136,t,f,2025-06-09 10:51:23.53+00,2025-06-09 10:51:23.53+00,,Recess × Popof,,2024-02-17 23:00:00+00,2024-02-18 04:00:00+00,,https://eventprofilepic.s3.amazonaws.com/136/IMG_6105.jpg,Beirut,Lebanon,"Recess Beirut, Beirut, Lebanon",0001-01-01,3,,59,,,Techno,genreTechno
137,t,f,2025-06-09 10:54:04.877+00,2025-06-09 10:54:04.878+00,,Recess × Lampé × TiM TASTE,,2024-01-06 23:00:00+00,2024-01-07 04:00:00+00,,https://eventprofilepic.s3.amazonaws.com/137/IMG_6107.jpg,Beirut,Lebanon,"Recess Beirut, Beirut, Lebanon",0001-01-01,3,,59,,,Techno,genreTechno
138,t,f,2025-06-09 11:14:47.261+00,2025-06-09 11:14:47.261+00,,Cosmic Waves,,2023-06-30 14:00:00+00,2023-07-01 23:59:00+00,,https://eventprofilepic.s3.amazonaws.com/138/IMG_6108.jpg,Riyadh,Saudi Arabia,"Dirab Circuit, Riyadh, Saudi Arabia",0001-01-01,3,,59,,,Techno,genreTechno
139,t,f,2025-06-09 11:19:37.463+00,2025-06-09 11:19:37.463+00,,Metemychosis,,2023-04-15 23:00:00+00,2023-04-16 04:00:00+00,,https://eventprofilepic.s3.amazonaws.com/139/IMG_6109 2.jpg,Beirut,Lebanon,"Minus 5, Beirut, Lebanon",0001-01-01,3,,59,,,Techno,genreTechno
140,t,f,2025-06-09 11:35:29.116+00,2025-06-09 11:35:29.116+00,,Concrete Mayhem,,2023-03-10 23:00:00+00,2023-03-11 04:00:00+00,,https://eventprofilepic.s3.amazonaws.com/140/IMG_6110.jpg,Beirut,Lebanon,"Minus 5, Beirut, Lebanon",0001-01-01,3,,59,,,Techno,genreTechno
141,t,f,2025-06-09 11:50:17.777+00,2025-06-09 11:50:17.777+00,,Escape Through Music (Anniv 01),,2022-12-17 23:00:00+00,2022-12-18 04:00:00+00,,https://eventprofilepic.s3.amazonaws.com/141/IMG_6111.jpg,Beirut,Lebanon,"Concrete 1994, Beirut, Lebanon",0001-01-01,3,,59,,,Techno,genreTechno
142,t,f,2025-06-09 11:53:02.074+00,2025-06-09 11:53:02.074+00,,Ekstasis Lebanon presents San Lopez,,2022-03-25 23:00:00+00,2022-03-26 04:00:00+00,,https://eventprofilepic.s3.amazonaws.com/142/IMG_6112.jpg,Beirut,Lebanon,"TBA, Beirut, Lebanon",0001-01-01,3,,59,,,Techno,genreTechno
